CODIGO,PRECIO,DESCUENTO, MONTO,VENEZUELA 1,VENEZUELA 2,COL 4,MEX 9,VENEZUELA 3,MEX 10,MEX 11,MEX 12,MEX 13,
AC-1138-VR," $67,10 ", $-   ," $805,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,AC-1138-VR,#N/A,#N/A,#N/A,
CI-8299-RJ," $69,96 ", $-   ," $139,92 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-FS," $69,36 ", $-   ," $138,92 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8196-DO," $228,48 ", $-   ," $456,96 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PC-2765-MT," $907,72 ", $-   ," $907,72 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8317-DO," $179,00 ", $-   ," $537,00 ",CI-8317-DO,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8201-CF," $112,00 ", $-   ," $224,00 ",CI-8201-CF,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PC2751-RS," $233,33 ", $-   ," $233,33 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AP-7006-CH," $214,40 ", $-   ," $1.072,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00493-RJ," $63,20 ", $-   ," $632,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00496-RJ," $100,80 ", $-   ," $1.008,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00527-,,,,#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00496-RJ," $100,80 ", $-   ," $1.008,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00527-RJ," $336,48 ", $-   ," $1.682,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00528-RJ," $336,48 ", $-   ," $1.682,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00545-AC," $277,44 ", $-   ," $554,88 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00727-RJ," $134,56 ", $-   ," $672,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
APA-00734-RJ," $168,24 ", $-   ," $841,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-4032-TQ," $79,50 ", $-   ," $397,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-4033-FS," $79,50 ", $-   ," $397,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-4033-RJ," $79,50 ", $-   ," $397,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-4209-RS," $79,50 ", $-   ," $397,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-4209-TR," $79,50 ", $-   ," $397,50 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4008-BL," $649,91 ", $-   ," $2.599,64 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4019-BL," $392,31 ", $-   ," $1.569,24 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-4034-BG," $557,46 ", $-   ," $1.114,92 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-6000-PL," $62,70 ", $-   ," $188,10 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8037-OR," $40,20 ", $-   ," $482,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8037-PL," $40,20 ", $-   ," $482,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8042-NG," $70,90 ", $-   ," $850,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8042-OR," $70,90 ", $-   ," $850,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8197-PL," $88,90 ", $-   ," $1.066,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
GP-1255-BL," $281,18 ", $-   ," $1.687,08 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1005-PL," $37,50 ", $-   ," $450,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1008-PL," $36,00 ", $-   ," $432,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1030-PL," $43,60 ", $-   ," $523,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1032-PL," $43,60 ", $-   ," $523,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-3348-BO," $169,60 ",," $169,60 ",PA-3348-BO,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-3349-CR," $126,00 ",," $126,00 ",PA-3349-CR,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PA-7309-BO," $295,45 ",," $295,45 ",#N/A,#N/A,#N/A,PA-7309-BO,Err:504,#N/A,#N/A,#N/A,#N/A,
ST-1087-BB," $327,60 ",," $655,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
AP-2685-CR," $178,89 ",," $536,67 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BS-0001-TR," $220,00 ",," $1.320,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-BG," $69,96 ",," $419,76 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-BL," $67,32 ",," $807,84 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-RJ," $69,96 ",," $839,52 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-RN," $69,96 ",," $419,76 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-8299-CE," $69,96 ",," $419,76 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1175-AQ," $15,00 ", $-   ," $180,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,CI-1175-AQ,
CI-1188-AQ," $15,00 ", $-   ," $180,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1188-MN," $15,00 ", $-   ," $180,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1188-RY," $15,00 ", $-   ," $180,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
CI-1188-VN," $15,00 ", $-   ," $180,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
PD-8067-CR," $87,30 ", $-   ," $349,20 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,PD-8067-CR,#N/A,
GP-1309-BL," $337,67 ",," $337,67 ",GP-1309-BL,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EL-1117-BL," $147,40 ", $-   ," $147,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EL-1117-NG," $147,40 ", $-   ," $147,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EL-1117-RS," $147,40 ", $-   ," $147,40 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
EL-1122-BG," $105,00 ", $-   ," $210,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,EL-1122-BG,#N/A,#N/A,
EL-1122-BL," $105,00 ", $-   ," $210,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,EL-1122-BL,#N/A,#N/A,
EL-1122-NG," $105,00 ", $-   ," $210,00 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,EL-1122-NG,#N/A,
BT-1604-DO," $97,80 ", $-   ," $97,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-1604-NQ," $97,80 ", $-   ," $97,80 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
BT-1605-NQ," $62,10 ", $-   ," $62,10 ",#N/A,#N/A,#N/A,#N/A,Err:504,#N/A,#N/A,#N/A,#N/A,
